<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
INDEX.CSI300,D,20220301,190000,4597.855,4623.4312,4583.917,4619.6862,3037
INDEX.CSI300,D,20220302,190000,4594.017,4594.017,4558.4416,4578.6007,2882
INDEX.CSI300,D,20220303,190000,4595.0249,4599.0263,4544.4313,4551.6283,2096
INDEX.CSI300,D,20220304,190000,4513.3636,4539.3925,4481.6936,4496.4301,2922
INDEX.CSI300,D,20220307,190000,4462.5174,4462.5174,4338.326,4352.7775,2167
INDEX.CSI300,D,20220308,190000,4361.6424,4383.6467,4252.7908,4265.391,2960
INDEX.CSI300,D,20220309,190000,4280.9789,4304.482,4068.193,4226.3463,3036
INDEX.CSI300,D,20220310,190000,4326.2035,4335.6061,4288.7369,4292.8374,2241
INDEX.CSI300,D,20220311,190000,4231.1961,4316.044,4176.4522,4306.5217,2849
INDEX.CSI300,D,20220314,190000,4248.1526,4280.3345,4174.7577,4174.7577,3006
INDEX.CSI300,D,20220315,190000,4125.4866,4163.1397,3983.812,3983.812,3084
INDEX.CSI300,D,20220316,190000,4053.099,4168.5853,3942.861,4156.081,2214
INDEX.CSI300,D,20220317,190000,4237.6722,4302.6011,4217.863,4237.6956,2832
INDEX.CSI300,D,20220318,190000,4218.4736,4283.3679,4194.9785,4265.9017,3041
INDEX.CSI300,D,20220321,190000,4280.1397,4287.6575,4223.024,4258.7459,2440
INDEX.CSI300,D,20220322,190000,4252.5658,4282.8997,4236.6888,4255.295,2606
INDEX.CSI300,D,20220323,190000,4269.6088,4287.4854,4241.957,4276.5174,2289
INDEX.CSI300,D,20220324,190000,4249.5328,4273.9568,4216.8506,4251.3061,2990
INDEX.CSI300,D,20220325,190000,4249.0731,4254.4613,4173.93,4174.5742,2173
INDEX.CSI300,D,20220328,190000,4128.8379,4174.1206,4091.5732,4148.4663,2308
INDEX.CSI300,D,20220329,190000,4155.4182,4177.0161,4124.962,4134.1441,2986
INDEX.CSI300,D,20220330,190000,4162.1666,4254.0989,4160.7351,4254.0989,2829
